OBJECTID,ID,SCODE2014,SNAME2014,Subcounty_2014,Urban_Status_2014,Municipality_Name,CONST_CODE,CONSTITUENCY,CCODE2014,CNAME2014,DCODE2014,DNAME2014,DNAME2016,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,Shape_Length,Shape_Area
183,653,103104,KAPEKE,Kapeke,,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,3199,15572,8161,7411,360.8526785,43.15334464,2920,339,1788,3759,2098,4433,2211,2183,1016,2094,1386,434,2976,2898,2981,2643,1481,1718,705,2494,1957,1242,990,2209,519,2540,140,396,12.3788684,390,1740,673,99091.82329,360856031.1
184,654,103105,KIBIGA,Kibiga,,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,5901,25685,13131,12554,170.4859112,150.6576105,4997,430,2648,7613,2691,7678,3703,5072,829,3659,1684,598,5434,5120,5675,5129,3753,2148,577,5324,4856,1045,1737,4164,952,4808,141,516,8.74428063,346,3945,1094,69543.61924,170487504.7
185,655,103106,KIBOGA TOWN COUNCIL,Kiboga Town Council,Town Council,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,5261,19338,9290,10048,19.58598105,987.3388499,3283,113,673,4044,5622,8064,1026,1639,3622,3454,1250,920,4796,5108,5063,4718,468,4793,58,5203,725,4536,1885,3376,1306,3943,12,2081,39.55521764,999,1019,1162,20743.59194,19586832.84
186,656,103107,LWAMATA,Lwamata,,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,6712,28248,14367,13881,255.880567,110.3952533,5759,383,2565,8024,3832,8995,3612,4990,1722,4210,1826,727,6088,5953,6340,5604,3679,3033,1165,5547,4947,1765,2978,3734,1240,5221,251,747,11.12932062,616,3792,1557,69113.04929,255882953.3
187,657,103108,MUWANGA,Muwanga,,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,4063,18002,9165,8837,110.9532096,162.2485737,3528,417,1908,5150,1991,5241,2646,3549,514,2762,1017,576,3687,3522,3905,3463,2102,1961,401,3662,3076,987,2614,1449,890,3089,84,373,9.180408565,294,2987,409,51891.9244,110957873.8
188,658,227101,BULANGIRA,Bulangira,,,189,KIBUKU COUNTY,2271,KIBUKU,227,KIBUKU,KIBUKU,4277,24169,11741,12428,50.26609866,480.8210831,4827,549,1755,6476,3355,5982,3906,3861,416,2273,2040,266,4182,3150,4198,4116,1127,3150,1109,3168,3319,958,106,4171,827,3202,248,201,4.699555763,231,3451,394,36375.45293,50266631.53
189,659,227102,BUSETA,Buseta,,,189,KIBUKU COUNTY,2271,KIBUKU,227,KIBUKU,KIBUKU,2830,16691,8035,8656,38.35617013,435.1581491,3616,382,1270,4323,1864,3623,2752,2555,275,1517,1458,144,2777,2208,2756,2743,1092,1738,893,1937,2293,537,54,2776,609,2117,104,161,5.689045936,90,2324,255,26143.72251,38356544.7
190,660,227103,KABWERI,Kabweri,,,189,KIBUKU COUNTY,2271,KIBUKU,227,KIBUKU,KIBUKU,2593,15338,7282,8056,30.90007583,496.3741865,3255,278,1101,4085,1884,3628,2341,2415,178,1218,1190,170,2549,2083,2387,2508,602,1991,567,2026,2110,483,126,2467,254,2162,177,115,4.435017354,59,2128,291,22952.97726,30900375.71
191,661,227104,KADAMA,Kadama,,,189,KIBUKU COUNTY,2271,KIBUKU,227,KIBUKU,KIBUKU,3529,19974,9554,10420,43.35157822,460.7444717,4139,388,1794,4872,2859,5011,3104,2846,683,1704,1403,218,3420,2696,3257,3417,954,2575,1005,2524,2625,904,327,3202,751,2415,363,211,5.979030887,123,2830,365,46047.73711,43352098.3
192,662,227105,KAGUMU,Kagumu,,,189,KIBUKU COUNTY,2271,KIBUKU,227,KIBUKU,KIBUKU,4695,27442,13247,14195,59.12701366,464.1194997,5670,699,1663,7620,3248,6402,4152,4404,291,2412,2254,323,4625,3384,4473,4548,1673,3022,1590,3105,3441,1254,201,4494,875,3596,224,145,3.088391906,166,4054,330,32574.37209,59127595
